adp_rank,name,position,team,adp,adp_formatted,high,low,stdev,times_drafted,bye,source,scoring,league_size,total_drafts,sample_start,sample_end,snapshot_date
105,Patrick Mahomes,QB,KC,100.6,9.05,69,132,12.1,673,5,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
106,Khalil Shakir,WR,BUF,101.0,9.05,79,119,8.4,287,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
107,Jared Goff,QB,DET,101.9,9.06,66,128,13.5,481,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
108,Tucker Kraft,TE,GB,102.9,9.07,51,153,19.7,1011,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
109,Justin Herbert,QB,LAC,106.6,9.11,70,146,14.0,1223,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
110,Xavier Worthy,WR,KC,106.8,9.11,84,128,8.8,513,5,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
111,LA Rams Defense,DEF,LAR,106.9,9.11,77,158,11.4,573,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
112,Rachaad White,RB,WAS,107.5,9.12,74,141,12.8,467,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
113,Jonathon Brooks,RB,CAR,107.6,9.12,66,148,15.7,1887,5,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
114,Travis Kelce,TE,KC,108.3,9.12,52,150,21.4,278,5,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
115,Matthew Golden,WR,GB,111.0,10.03,83,147,10.6,576,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
116,Romeo Doubs,WR,NE,111.8,10.04,86,143,9.7,394,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
117,Minnesota Defense,DEF,MIN,112.5,10.05,88,153,12.9,95,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
118,Deebo Samuel Sr.,WR,SF,113.0,10.05,88,146,9.5,540,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
119,Makai Lemon,WR,PHI,113.6,10.06,87,148,10.1,647,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
120,Kyle Monangai,RB,CHI,114.0,10.06,74,149,15.2,723,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
121,Bo Nix,QB,DEN,115.1,10.07,81,150,13.0,528,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
122,Dallas Goedert,TE,PHI,115.2,10.07,68,157,19.2,310,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
123,George Kittle,TE,SF,116.3,10.08,68,153,18.4,656,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
124,Jaxson Dart,QB,NYG,117.5,10.10,83,145,13.0,366,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
125,Jacory Croskey-Merritt,RB,WAS,118.0,10.10,77,150,15.6,691,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
126,Jalen Coker,WR,CAR,120.6,11.01,93,147,10.3,305,5,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
127,Blake Corum,RB,LAR,121.5,11.02,74,155,18.2,1207,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
128,Jordan Mason,RB,MIN,122.6,11.03,82,155,15.3,1099,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
129,KC Concepcion,WR,CLE,123.3,11.03,95,150,10.8,748,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
130,New England Defense,DEF,NE,126.0,11.06,86,178,15.0,282,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
131,Jayden Higgins,WR,HOU,127.3,11.07,99,150,10.5,450,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
132,Mark Andrews,TE,BAL,128.1,11.08,81,168,17.8,366,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
133,Rashid Shaheed,WR,SEA,129.0,11.09,97,150,11.9,457,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
134,Jerry Jeudy,WR,CLE,129.1,11.09,91,149,14.5,197,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
135,Brandon Aubrey,PK,DAL,129.6,11.10,70,185,22.7,1750,14,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
136,Baker Mayfield,QB,TB,129.7,11.10,103,150,9.9,381,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
137,Jake Ferguson,TE,DAL,132.2,11.12,86,170,17.6,357,14,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
138,Detroit Defense,DEF,DET,132.3,11.12,94,174,15.1,96,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
139,Philadelphia Defense,DEF,PHI,133.2,12.01,92,180,16.9,430,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
140,Pittsburgh Defense,DEF,PIT,133.2,12.01,97,177,13.7,286,9,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
141,Tre Tucker,WR,LV,133.2,12.01,109,150,9.2,187,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
142,Kyler Murray,QB,MIN,134.2,12.02,98,171,13.7,523,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
143,Tyjae Spears,RB,TEN,134.3,12.02,89,170,17.1,94,9,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
144,Tyler Shough,QB,NO,135.3,12.03,112,154,8.9,223,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
145,Jalen McMillan,WR,TB,135.8,12.04,103,178,12.4,136,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
146,Isaiah Likely,TE,NYG,137.0,12.05,92,174,17.2,1180,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
147,Zach Charbonnet,RB,SEA,137.0,12.05,93,177,16.8,502,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
148,Oronde Gadsden,TE,LAC,137.4,12.05,109,204,29.9,8,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
149,Theo Wease Jr.,WR,MIA,137.8,12.06,125,173,14.1,18,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
150,Jason Myers,PK,SEA,141.8,12.10,99,186,17.4,172,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
151,Ka'imi Fairbairn,PK,HOU,141.8,12.10,95,179,17.8,98,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
152,Sam Darnold,QB,SEA,142.0,12.10,104,173,14.4,111,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
153,Denzel Boston,WR,CLE,142.4,12.10,107,174,13.3,205,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
154,Juwan Johnson,TE,NO,142.7,12.11,88,180,26.9,105,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
155,Jordan Love,QB,GB,142.7,12.11,111,175,12.1,258,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
156,Calvin Ridley,WR,TEN,143.2,12.11,116,179,10.2,70,9,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
157,Emari Demercado,RB,KC,143.4,12.11,137,162,8.4,11,5,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
158,Cameron Dicker,PK,LAC,143.8,12.12,98,186,17.6,192,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
159,Jauan Jennings,WR,MIN,144.0,12.12,117,168,10.1,56,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
160,LA Chargers Defense,DEF,LAC,144.3,12.12,110,180,14.5,659,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
161,Kimani Vidal,RB,LAC,144.8,13.01,99,176,26.6,6,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
162,Jake Elliott,PK,PHI,144.8,13.01,105,207,40.9,6,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
163,Rashod Bateman,WR,BAL,145.7,13.02,105,171,15.6,48,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
164,Alvin Kamara,RB,NO,146.1,13.02,96,180,19.0,333,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
165,Jake Bates,PK,DET,146.4,13.02,92,189,20.8,153,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
166,De'Zhaun Stribling,WR,SF,146.9,13.03,101,180,17.4,724,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
167,Joey Slye,PK,TEN,148.0,13.04,148,148,0.0,10,9,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
168,Ty Johnson,RB,BUF,148.4,13.04,92,201,37.8,14,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
169,Woody Marks,RB,HOU,149.2,13.05,112,179,14.3,165,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
170,Tyrone Tracy Jr.,RB,NYG,149.3,13.05,106,178,16.5,193,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
171,Cyrus Allen,WR,KC,149.9,13.06,116,180,23.9,15,5,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
172,Malik Washington,WR,MIA,150.0,13.06,108,180,15.8,261,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
173,San Francisco Defense,DEF,SF,150.4,13.06,1,204,59.6,10,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
174,Pat Bryant,WR,DEN,151.2,13.07,139,153,4.9,8,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
175,Braelon Allen,RB,NYJ,151.3,13.07,102,182,18.6,40,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
176,Dalton Kincaid,TE,BUF,151.6,13.08,104,180,18.0,309,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
177,Jalen Nailor,WR,LV,151.9,13.08,120,176,12.3,121,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
178,Harrison Mevis,PK,LAR,152.4,13.08,114,191,14.9,89,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
179,Chimere Dike,WR,TEN,152.7,13.09,146,173,9.1,7,9,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
180,Mike Washington Jr.,RB,LV,153.7,13.10,109,177,18.6,34,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
181,Cooper Kupp,WR,SEA,153.7,13.10,99,179,20.9,129,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
182,Kaelon Black,RB,SF,154.2,13.10,129,174,14.3,10,8,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
183,Tyler Loop,PK,BAL,154.3,13.10,113,189,15.6,174,13,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
184,Cam Little,PK,JAX,154.4,13.10,109,210,17.5,329,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
185,Jacksonville Defense,DEF,JAX,155.2,13.11,115,208,15.2,514,7,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
186,Chase McLaughlin,PK,TB,155.4,13.11,118,189,14.1,113,10,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
187,Isiah Pacheco,RB,DET,156.1,13.12,105,180,19.6,208,6,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
188,Green Bay Defense,DEF,GB,156.7,14.01,128,204,19.9,16,11,fantasyfootballcalculator,ppr,12,6885,2026-08-12,2026-08-19,2026-08-19
